Class,Json_key,Property_name,Range
ProvidedCHO,about,,xsd:anyURI
ProvidedCHO,title,dc:title,rdfs:Literal
ProvidedCHO,hasMet,edm:hasMet,edm:Event
ProvidedCHO,identifier,dc:identifier,rdfs:Literal
ProvidedCHO,hasType,edm:hasType,skos:Concept
ProvidedCHO,hierarchyType,ddb:hierarchyType,rdfs:Literal
ProvidedCHO,dcType,dc:type,rdfs:Literal
ProvidedCHO,description,dc:description,rdfs:Literal
ProvidedCHO,aggregationEntity,ddb:aggregationEntity,xsd:boolean
ProvidedCHO,extent,dc:extent,rdfs:Literal
ProvidedCHO,edmType,edm:type,rdfs:Literal
ProvidedCHO,language,dc:language,rdfs:Literal
ProvidedCHO,dcTermsLanguage,dcterms:language,dcterms:LinguisticSystem
ProvidedCHO,dcSubject,dc:subject,rdfs:Literal
ProvidedCHO,dcTermsSubject,dcterms:subject,skos:Concept
ProvidedCHO,dcTermSubject,dcterms:subject,skos:Concept
ProvidedCHO,isPartOf,dcterms:isPartOf,edm:ProvidedCHO
ProvidedCHO,date,dc:date,rdfs:Literal
ProvidedCHO,hierarchyPosition,ddb:hierarchyPosition,rdfs:Literal
ProvidedCHO,currentLocation,edm:currentLocation,edm:Place
ProvidedCHO,issued,dc:issued,rdfs:Literal
ProvidedCHO,creator,dc:creator,edm:Agent
ProvidedCHO,contributor,dc:contributor,edm:Agent
ProvidedCHO,format,dc:format,rdfs:Literal
ProvidedCHO,spatial,dc:spatial,edm:Place
ProvidedCHO,alternative,dc:alternative,rdfs:Literal